ligand_id,docked_conformation_count,ensemble_best_score_kcal_mol,ensemble_mean_score_kcal_mol,ensemble_median_score_kcal_mol,ensemble_score_std_kcal_mol,enopt_style_weighted_score_kcal_mol,smiles,source,mol_weight,heavy_atoms,logp,hbd,hba,tpsa
CHEMBL16377,5,-13.05,-12.036000000000001,-11.88,0.5878179990439217,-12.032066423831319,CC(=O)c1c(O)n(O)c2cc(NC(=O)c3ccc4ccccc4c3)ccc12,ChEMBL37_chemreps,360.369,27,4.192,3,5,91.56
CHEMBL31163,5,-12.95,-12.022,-12.1,0.6697910121821581,-12.030869010946766,O=C(Cc1cccnc1)NCc1cc2cc(C(=O)N3CCC(N4C(=O)OCc5ccccc54)CC3)ccc2o1,ChEMBL37_chemreps,524.577,39,4.448,1,6,104.98
CHEMBL24780,5,-13.46,-12.005199999999999,-12.61,1.5154290481576496,-12.023996786342135,CCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc(-c2cccc(C(=N)N)c2)cc1,ChEMBL37_chemreps,494.643,37,5.438,3,5,104.01
CHEMBL19614,5,-13.44,-12.004000000000001,-12.51,1.2267966416647866,-12.020124075570028,O=C([O-])c1cccc(Cn2nnc(-c3cccc(/C=C/c4ccc5ccccc5n4)c3)n2)c1,ChEMBL37_chemreps,432.463,33,3.471,0,7,96.62
CHEMBL8949,5,-12.57,-12.0,-12.15,0.6285698051927091,-12.007986434620829,O=C(NCC=C(c1ccccc1)c1ccccc1)c1ccc2ccccc2c1,ChEMBL37_chemreps,363.46,28,5.702,1,1,29.1
CHEMBL4436123,5,-12.58,-11.993999999999998,-12.23,0.6559573156844888,-12.00223699874516,Nc1ncnc2c3c(n(-c4ccc(NC(=O)Cc5cc(C(F)(F)F)ccc5F)cc4)c12)CCC3,ChEMBL37_chemreps,469.442,34,4.831,2,5,85.83
CHEMBL39315,5,-13.5,-11.99,-11.9,1.2698031343479976,-12.000663613408484,Cc1oc(-c2ccc3ccccc3c2)nc1COc1ccc(CCCC2OC(=O)NC2=O)cc1,ChEMBL37_chemreps,456.498,34,5.34,1,6,90.66
CHEMBL17022,5,-12.43,-11.989999999999998,-12.23,0.548270006474912,-11.997989871902213,O=S(=O)(NC[C@H]1CC[C@H](CNCc2ccc3ccccc3c2)CC1)c1ccc2ccccc2c1,ChEMBL37_chemreps,472.654,34,5.868,2,3,58.2
CHEMBL3309386,5,-12.7,-11.970000000000002,-11.88,0.7197221686178631,-11.980250946977906,C[C@H](O)CNc1nccc(-n2ccnc2Cc2cccc(NC(=O)C3Cc4ccccc4N3)c2)n1,ChEMBL37_chemreps,469.549,35,3.021,4,8,116.99
CHEMBL29731,5,-13.02,-11.958000000000002,-12.32,1.0816746276029587,-11.973650953224944,O=C(c1ccc(Nc2ccnc3cc(C(F)(F)F)ccc23)cc1)N1CCN(c2[nH]cnc3ncnc2-3)CC1,ChEMBL37_chemreps,518.503,38,4.578,2,7,102.93
CHEMBL4436435,5,-13.07,-11.962,-12.04,1.1674630615141532,-11.973247814656103,CC(C)(C)c1cc(NC(=O)Cc2ccc(-n3c4c(c5ncnc(N)c53)CCC4)cc2)n(-c2ccccc2)n1,ChEMBL37_chemreps,505.626,38,5.156,2,7,103.65
CHEMBL3309551,5,-12.73,-11.964,-12.08,0.7518842996099868,-11.968991506633957,C[C@H](O)CNc1nccc(-n2ccnc2C(=O)c2cccc(NC(=O)c3cccc(C(F)(F)F)c3)c2)n1,ChEMBL37_chemreps,510.476,37,3.957,3,8,122.03
CHEMBL38271,5,-12.82,-11.958000000000002,-12.09,0.9747666387397548,-11.96787851487885,CC1(C)C(=O)Nc2cc3[nH]c(-c4ccnc5ccccc45)nc3cc21,ChEMBL37_chemreps,328.375,25,4.008,2,3,70.67
CHEMBL529058,5,-13.04,-11.95,-11.55,0.9548036447353977,-11.96221054721296,O=C(Nc1ccc(-c2ccccc2)cc1)Nc1cccc(Cn2nc(Cl)c(N3CCNCC3)cc2=O)c1,ChEMBL37_chemreps,515.017,37,4.666,3,6,91.29
CHEMBL20496,5,-12.83,-11.946,-12.29,0.9531421719764579,-11.95941736900324,N=C(c1ccc(NC(=O)c2nnnn2-c2ccc3cc(Cl)ccc3c2)c(F)c1)N1CCCC1,ChEMBL37_chemreps,463.904,33,4.281,2,6,99.79
CHEMBL31252,5,-13.15,-11.94,-12.23,1.2055289295574785,-11.95241236392972,O=C(OCc1ccc([C@H]2CCNC[C@@H]2OCc2ccc3ccccc3c2)cc1)c1ccccc1,ChEMBL37_chemreps,451.566,34,5.859,1,4,47.56
CHEMBL4553666,5,-12.67,-11.948,-11.89,0.7329529316402251,-11.95143903529221,Cc1cc(C)nc(NS(=O)(=O)c2cccc(NC(=O)NC(=O)c3ccc(Cl)cc3Cl)c2)n1,ChEMBL37_chemreps,494.36,32,4.163,3,6,130.15
CHEMBL17645,5,-12.61,-11.928,-12.05,0.7655520883649914,-11.93828376742799,Nc1nc(NC[C@H]2CC[C@H](CNS(=O)(=O)c3cccc4ccccc34)CC2)nc2ccccc12,ChEMBL37_chemreps,475.618,34,4.562,3,6,110.0
CHEMBL28867,5,-12.59,-11.924000000000001,-12.31,1.072697534256512,-11.936660303979908,O=C1c2ccccc2CCC1CN1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,ChEMBL37_chemreps,490.594,36,5.134,0,4,32.78
CHEMBL20881,5,-12.91,-11.916,-12.25,1.0965764907200957,-11.93202851650606,O=C(CCCCC1SCC2NC(=O)NC21)Nc1cccc2c1CC(N1CCC(c3ccccc3)CC1)C(O)C2,ChEMBL37_chemreps,548.753,39,4.059,4,5,93.7
CHEMBL19400,5,-12.68,-11.924000000000001,-12.1,0.6546984038471456,-11.930149967554808,O=C(O)Cc1ccccc1Cn1nnc(-c2cccc(OCc3ccc4ccccc4n3)c2)n1,ChEMBL37_chemreps,451.486,34,4.143,1,7,103.02
CHEMBL4436461,5,-13.08,-11.912,-11.75,1.074788351258051,-11.927220390264106,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc([C@H]4CC[C@H](C(=O)N(C)C)CC4)cc23)c1,ChEMBL37_chemreps,430.596,32,5.782,1,4,58.12
