ligand_id,smiles,source,mol_weight,heavy_atoms,logp,hbd,hba,tpsa
CHEMBL27894,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCS(=O)(=O)O)C(=O)O)cc1,ChEMBL37_chemreps,490.502,34,-0.318,5,11,227.61
CHEMBL27895,Clc1ccc(CN2CCc3ccccc3C2Cn2ccnc2)c(Cl)c1,ChEMBL37_chemreps,372.299,25,4.99,0,3,21.06
CHEMBL27896,c1ccc(CN2CCN(c3nc4ccccc4o3)CC2)cc1,ChEMBL37_chemreps,293.37,22,3.15,0,4,32.51
CHEMBL26686,Cn1c2cc(Cl)ncc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,ChEMBL37_chemreps,442.901,31,3.813,0,6,50.08
CHEMBL26687,COc1cc(CCN)cc(OC)c1OC,ChEMBL37_chemreps,211.261,15,1.214,1,4,53.71
CHEMBL26696,c1coc(-c2cc(-c3cccs3)nc(-c3cccs3)c2)c1,ChEMBL37_chemreps,309.415,21,5.799,0,4,26.03
CHEMBL26697,CCOc1ccc(C2=CCCn3c2cnc3C)cc1,ChEMBL37_chemreps,254.333,19,3.426,0,3,27.05
CHEMBL26698,Cn1c(=O)c2nc(/C=C/c3cc(F)cc(F)c3)[nH]c2n(C)c1=O,ChEMBL37_chemreps,318.283,23,1.409,1,5,72.68
CHEMBL26788,CO[C@@H]1[C@@H](O)[C@@H](O)CO[C@H]1[n+]1ccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c2c1,ChEMBL37_chemreps,409.462,30,2.35,4,5,98.82
CHEMBL26706,O=C([O-])c1cccc2c1CCCC2CCc1cncs1,ChEMBL37_chemreps,286.376,20,2.559,0,4,53.02
CHEMBL26794,CS(=O)(=O)Nc1ccc(-c2cccn3ccnc23)cc1,ChEMBL37_chemreps,287.344,20,2.373,1,4,63.47
CHEMBL26795,N#Cc1c2n(c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc13)CCCC2,ChEMBL37_chemreps,422.483,31,3.282,0,6,60.98
CHEMBL26796,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2ncccn2)CC1,ChEMBL37_chemreps,357.458,26,1.308,0,6,69.64
CHEMBL26801,Nc1ncnc2c1nnn2C1CC(CO)C(O)C1O,ChEMBL37_chemreps,266.261,19,-1.921,4,9,143.2
CHEMBL26803,C=C(c1cc(Cl)ccc1OCCCC)n1ccnc1,ChEMBL37_chemreps,276.767,19,4.234,0,3,27.05
CHEMBL26804,O=C(Cn1c(Cl)cnc(NCC(F)(F)c2cccc[n+]2[O-])c1=O)NCc1ccccc1Cl,ChEMBL37_chemreps,484.29,32,2.704,2,6,102.96
CHEMBL26806,O=C(O)Cc1ccccc1Oc1ccc(Cl)c(Cl)c1,ChEMBL37_chemreps,297.137,19,4.413,1,2,46.53
CHEMBL26808,CN(C)CCN1c2ccccc2N(C)S(=O)(=O)c2ccccc21,ChEMBL37_chemreps,331.441,23,2.525,0,4,43.86
CHEMBL26809,CN1c2ccccc2N(C(=O)CN2CCCC2)c2ccccc2S1(=O)=O,ChEMBL37_chemreps,371.462,26,2.586,0,4,60.93
CHEMBL26811,CCCCCCCCCCC/C=C1/C(=O)O[C@@H](CO)[C@@]12CCC(=O)O2,ChEMBL37_chemreps,352.471,25,3.827,1,5,72.83
CHEMBL3310390,Cn1cc([N+](=O)[O-])cc1C(=O)NNC(=O)NC1CCCC1,ChEMBL37_chemreps,295.299,21,0.82,3,5,118.3
CHEMBL3310391,N#Cc1cnc(-c2nc(CC(=O)O)cs2)c(O)c1,ChEMBL37_chemreps,261.262,18,1.409,2,6,107.1
CHEMBL26904,CC(C)C(=O)N1CCN(c2cccc(Cl)c2)CC1,ChEMBL37_chemreps,266.772,18,2.645,0,2,23.55
CHEMBL26905,CCN1CCN(c2cccc3c2OCCO3)CC1,ChEMBL37_chemreps,248.326,18,1.6,0,4,24.94
CHEMBL26906,Fc1ccc2[nH]cc(C3=CCNCC3)c2c1,ChEMBL37_chemreps,216.259,16,2.684,2,1,27.82
CHEMBL26907,Cc1cccc(O)c1-c1cccc2c1-c1cccc3c1[C@@H](C2)N(C)CC3,ChEMBL37_chemreps,341.454,26,5.12,1,2,23.47
CHEMBL26909,CC(C)CCC(C)N1CCC(N2C(=O)N[C@@H]3CCCC[C@H]32)CC1,ChEMBL37_chemreps,321.509,23,3.612,1,2,35.58
CHEMBL4436000,OCC1CCCCN1c1nc(NCCc2ccccc2Br)c2ccccc2n1,ChEMBL37_chemreps,441.373,28,4.398,2,5,61.28
CHEMBL4436001,NC(=O)c1cccnc1OC1CC2(CC(Nc3nc4cc(F)c(Br)cc4s3)C2)C1,ChEMBL37_chemreps,477.359,29,4.494,2,6,90.13
CHEMBL4436002,COc1cccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2NC(C)=O)c1-c1cccc(NS(C)(=O)=O)c1,ChEMBL37_chemreps,496.538,34,0.056,5,9,163.65
CHEMBL4436003,CC(O)(COc1ccc(C#N)cc1)C(=O)Nc1cccc(S(F)(F)(F)(F)F)c1,ChEMBL37_chemreps,422.375,28,4.984,2,4,82.35
CHEMBL4436004,Oc1cc(/C=C/c2ccccc2Cl)nc2ccccc12,ChEMBL37_chemreps,281.742,20,4.764,1,2,33.12
CHEMBL3310454,C=CCc1cc(/C=C2\SC(=O)N(C(C)C)C2=O)c(OC)cc1O,ChEMBL37_chemreps,333.409,23,3.574,1,5,66.84
CHEMBL3310455,C=CCc1cc(/C=C2\SC(=O)N(CC=C)C2=O)c(OC)cc1O,ChEMBL37_chemreps,331.393,23,3.352,1,5,66.84
CHEMBL27114,O=C1NC2(CCCCC2)C(=O)N1CCN(CCCl)CCCl,ChEMBL37_chemreps,336.263,21,2.021,1,3,52.65
CHEMBL27115,CC1CCN(CCCOc2ccc(-c3ccc(C(=O)N4CCC(C)CC4)cc3)cc2)CC1,ChEMBL37_chemreps,434.624,32,5.727,0,3,32.78
CHEMBL27117,Cc1ccc2c(n1)CN[C@@H]1CCc3cc(O)c(O)cc3[C@@H]21,ChEMBL37_chemreps,282.343,21,2.351,3,4,65.38
CHEMBL27201,C=C(c1c(Cl)ccc(Cl)c1OCc1ccc(Cl)cc1)n1ccnc1,ChEMBL37_chemreps,379.674,24,5.941,0,3,27.05
CHEMBL27207,Oc1ccc(C2=C(c3ccc(O)cc3)c3ccc(O)cc3CC2)cc1,ChEMBL37_chemreps,330.383,25,4.709,3,3,60.69
CHEMBL4436035,O=C(O)[C@H]1CNC[C@@H](O)[C@H](O)[C@H]1O,ChEMBL37_chemreps,191.183,13,-2.627,5,5,110.02
CHEMBL4436036,OCC(O)c1cc(C2CC2)n[nH]1,ChEMBL37_chemreps,168.196,12,0.313,3,3,69.14
CHEMBL4436037,O=C(O)CN1C(=O)/C(=C/c2ccc(OCCc3ccccc3)cc2)SC1=S,ChEMBL37_chemreps,399.493,27,3.594,1,5,66.84
CHEMBL4436039,Cc1ccc2[nH]c3c(c2c1)CCC(=C\c1cccc(F)c1)/C3=C(\C#N)C(N)=O,ChEMBL37_chemreps,371.415,28,4.408,2,2,82.67
CHEMBL4436040,CN(C)CCCOc1cccc(CNC(=O)c2ccc(-c3ccncc3)cc2)c1,ChEMBL37_chemreps,389.499,29,4.009,1,4,54.46
CHEMBL4436041,c1ccc(COc2cccc(Nc3ncnc4cc5c(cc34)OCCOCCO5)c2)cc1,ChEMBL37_chemreps,429.476,32,4.74,1,7,74.73
CHEMBL4436042,COc1cc2c(cc1OC)CN(CCOc1ccc3c(C)c(C)c(=O)oc3c1)CC2,ChEMBL37_chemreps,409.482,30,3.864,0,6,61.14
CHEMBL4436043,C=CCS[C@@H]1C[C@@H](c2cccc(OC)c2)N(S(=O)(=O)c2ccc(C)cc2)C[C@H]1C(=O)O,ChEMBL37_chemreps,461.605,31,4.128,1,5,83.91
CHEMBL4436045,Cc1cc(-c2cnn3c(NC[C@H]4C[C@@](C)(O)C4)cc(NC4CCCC4)nc23)ccc1C(=O)NC1CC1,ChEMBL37_chemreps,488.636,36,4.524,4,7,103.58
CHEMBL4436046,O=C(O)c1cccc(N2CCN(C(=O)COc3ccc(Cl)cc3)CC2)c1,ChEMBL37_chemreps,374.824,26,2.766,1,4,70.08
CHEMBL4436048,N=C(N)c1ccc(CC2OB(O)c3ccccc32)cc1OCc1cccnc1,ChEMBL37_chemreps,373.221,28,1.946,3,5,101.45
CHEMBL27209,CC1CCN(CCCOc2ccc(-c3ccc(C(=O)N4CCOCC4)cc3)cc2)CC1,ChEMBL37_chemreps,422.569,31,4.327,0,4,42.01
CHEMBL3311271,c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5o4)cn3)[nH]c2cc1C1=NCCCN1,ChEMBL37_chemreps,474.568,36,5.123,3,6,90.6
CHEMBL27129,O=C1c2ccccc2OCN1CCO[N+](=O)[O-],ChEMBL37_chemreps,238.199,17,0.687,0,5,81.91
CHEMBL27212,CCC1CN(CCc2c[nH]c3ccccc23)CCC12CNC(=O)O2,ChEMBL37_chemreps,327.428,24,2.921,2,3,57.36
CHEMBL27216,CCCCc1nc(Cl)c(CO)n1Cc1ccc(OCc2ccccc2C(=O)O)cc1,ChEMBL37_chemreps,428.916,30,4.697,2,5,84.58
CHEMBL27217,CCOc1ccc(OCC(=O)CSCCC(=O)O)cc1,ChEMBL37_chemreps,298.36,20,2.241,1,5,72.83
CHEMBL27218,Clc1ccc2c(c1)[C@H]1OCC[C@H]1[C@H](c1c[nH]c3ccccc13)N2,ChEMBL37_chemreps,324.811,23,5.066,2,2,37.05
CHEMBL27219,Cc1cc(CCCCCCCCOc2ccc(C3=NCCO3)cc2)on1,ChEMBL37_chemreps,356.466,26,4.722,0,5,56.85
CHEMBL27220,COc1ccc([C@]2(C#N)CC[C@H](C(=O)O)CC2)cc1OC1CCCC1,ChEMBL37_chemreps,343.423,25,4.053,1,4,79.55
CHEMBL27223,c1ccc2c(CC3=NCCN3)c3ccccc3c(CC3=NCCN3)c2c1,ChEMBL37_chemreps,342.446,26,3.081,2,4,48.78
CHEMBL27224,CN(C)CCCNCc1c2ccccc2c(CNCCCN(C)C)c2ccccc12,ChEMBL37_chemreps,406.618,30,4.076,2,4,30.54
CHEMBL4436063,CCOCc1ccc2[nH]c(-c3ccccc3)cc(=O)c2c1,ChEMBL37_chemreps,279.339,21,3.732,1,2,42.09
CHEMBL27227,CN1CC=C(c2c[nH]c3ccc(Br)cc23)CC1,ChEMBL37_chemreps,291.192,17,3.649,1,1,19.03
CHEMBL27318,COc1cc(/C=C/c2nc3c(c(=O)n(C)c(=O)n3C)n2C)cc(OC)c1,ChEMBL37_chemreps,356.382,26,1.158,0,8,80.28
CHEMBL27324,COc1ccc2c(O)cc(=O)n(Cc3ccc(-c4ccccc4C(=O)O)cc3)c2c1,ChEMBL37_chemreps,401.418,30,4.129,2,5,88.76
CHEMBL27325,CNC(=O)[C@@H](C)NC(=O)C(CC(C)C)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1,ChEMBL37_chemreps,458.539,32,3.961,3,3,95.5
